id,stages,dt,users
0.0,Stage_0,2019-12-01,Oliver
0.0,Stage_3,2019-12-02,Liam
0.0,Stage_5,2019-12-05,Emma
0.0,Stage_2,2019-12-11,Patricia
0.0,Stage_7,2019-12-17,Callum
1.0,Stage_0,2019-12-01,Jake
1.0,Stage_2,2019-12-06,Olivia
1.0,Stage_4,2019-12-08,William
1.0,Stage_3,2019-12-13,Noah
1.0,Stage_8,2019-12-16,Isabella
2.0,Stage_0,2019-12-01,Oliver
2.0,Stage_2,2019-12-04,Mason
2.0,Stage_3,2019-12-06,Liam
2.0,Stage_4,2019-12-12,Jacob
2.0,Stage_5,2019-12-21,Emma
2.0,Stage_8,2019-12-24,Isabella
2.0,Stage_7,2019-12-31,Harry
3.0,Stage_2,2019-12-01,Olivia
3.0,Stage_9,2019-12-10,Mia
4.0,Stage_0,2019-12-01,Oliver
4.0,Stage_2,2019-12-10,Patricia
4.0,Stage_3,2019-12-14,Liam
4.0,Stage_7,2019-12-21,Harry
5.0,Stage_0,2019-12-01,Jake
5.0,Stage_2,2019-12-05,Olivia
5.0,Stage_3,2019-12-12,Liam
5.0,Stage_7,2019-12-13,Harry
6.0,Stage_5,2019-12-01,Margaret
6.0,Stage_2,2019-12-03,Olivia
6.0,Stage_8,2019-12-09,Isabella
7.0,Stage_0,2019-12-01,Oliver
7.0,Stage_2,2019-12-03,Patricia
7.0,Stage_6,2019-12-12,Lauren
7.0,Stage_8,2019-12-13,Mary
8.0,Stage_2,2019-12-01,Patricia
8.0,Stage_4,2019-12-10,Bethany
8.0,Stage_5,2019-12-15,Margaret
8.0,Stage_3,2019-12-21,Liam
9.0,Stage_0,2019-12-01,Jake
9.0,Stage_2,2019-12-09,Mason
9.0,Stage_5,2019-12-13,Emma
9.0,Stage_7,2019-12-14,Harry
9.0,Stage_8,2019-12-19,Mary
10.0,Stage_0,2019-12-01,Oliver
10.0,Stage_2,2019-12-06,Mason
10.0,Stage_5,2019-12-09,Emma
10.0,Stage_7,2019-12-17,Harry
11.0,Stage_0,2019-12-01,Oliver
11.0,Stage_3,2019-12-06,Amelia
11.0,Stage_5,2019-12-15,Emma
11.0,Stage_7,2019-12-24,Callum
11.0,Stage_8,2019-12-28,Isabella
12.0,Stage_0,2019-12-01,Oliver
12.0,Stage_2,2019-12-06,Mason
12.0,Stage_9,2019-12-10,Barbara
13.0,Stage_2,2019-12-01,Olivia
13.0,Stage_7,2019-12-06,Harry
13.0,Stage_4,2019-12-14,Bethany
14.0,Stage_0,2019-12-01,Oliver
14.0,Stage_1,2019-12-10,Charlie
14.0,Stage_5,2019-12-13,Emma
14.0,Stage_7,2019-12-20,Callum
15.0,Stage_0,2019-12-01,Oliver
15.0,Stage_2,2019-12-09,Patricia
15.0,Stage_3,2019-12-13,Amelia
15.0,Stage_4,2019-12-22,William
15.0,Stage_5,2019-12-25,Margaret
15.0,Stage_8,2019-12-27,Isabella
16.0,Stage_0,2019-12-01,Oliver
16.0,Stage_6,2019-12-08,Lauren
16.0,Stage_3,2019-12-11,Noah
